,text
59,@BFit1234 @iamharaldur @elonmusk Laws were broken by Elon Musk. Halli is trying to resolve this without taking legal action. I'm convinced he will take legal actions if Elon doesn't respond
60,Elon Musk sucks.   What a shitty person. https://t.co/yaodBELZ2J
61,@quickbear @GeekboyGame @iamharaldur @elonmusk Yes his father did have shares in an emerald mine. I don't see where it says that it's the source of Elon Musk's wealth.
62,@elonmusk @greg_price11 @Liz_Cheney @AdamKinzinger @RepAdamSchiff Elon musk wants to kill what’s left of democracy. We watched J6 unfold on Twitter no less. Elon is a traitor to democracy and I will NEVER buy another Tesla.
63,"@ViciousLilViper @ThrottleMerlin @iamharaldur @elonmusk At least read up on your idol...
https://t.co/rtYdjmDypa"
64,@greg_price11 @elonmusk https://t.co/iVAjafGvs7 what kind of fascist dickhead does that to their employee?
65,"From Fox News - Elon Musk torches House Jan. 6 committee for 'misleading the public,' withholding evidence: 'deeply wrong' Elon Musk torches House Jan. 6 committee for 'misleading the public,' withholding evidence: 'deeply wrong'

https://t.co/ZvX8nnFHEf"
66,"Twitter_Files Image 13NOV22 02

The Letter to Elon Musk from Ed Markey.

https://t.co/2UyoSEWqns -

We got Twitter ‘verified’ in minutes posing as a comedian and a senator
https://t.co/UjPL8Gq7sj - https://t.co/1hseXvAmhK"
67,Elon Musk publicly humiliates Twitter worker who asks if he's been sacked https://t.co/H6ngBCB5G2
68,@Chesschick01 @elonmusk Oh they love misinformation..just like Elon musk does. Infact he's being sued for lying. That's why he doesn't mind when his party lies to Americans.
69,"@elonmusk yes you elon musk. You are creating a new world which have to follow strict rule like 12 hour work n only work also no leave, no festive season,  no holiday means nothing,  nothing,  nothing. So i want to know what you want man?"
70,"Here's a thread, if you want some good ""Wow, Elon Musk is a raging asshole"" content https://t.co/EMZ6MoE7pw"
71,"the virtual certainty that Elon Musk is cranking it to pictures of AOC while he tweets

the lesser probability that he has some sort of silicone orifice that does it for him while he sits without pants in a special ergonomic chair with stirrups"
72,"#January6th TRUTH: Elon Musk torches House Jan. 6 committee for 'misleading the public,' withholding evidence: 'deeply wrong' https://t.co/PhV9X43338 #FoxNews"
73,Oh well…it’s BBC Panorama so it must be accurate and true. Not even the tiniest hint of possibility that the ultra-woke former employees are biased about the town square Elon Musk has stated he wants for Twitter https://t.co/0kJQR2ijhf
74,"@ViciousLilViper @Britta16 @iamharaldur @elonmusk If you read the original thread, he exhausted all other methods. It’s somewhat embarrassing that Elon Musk only responds to work-related issues if someone tweets at him."
75,Why do you idolize this asshole? You think responding to ex employee asking about their severance with emojis is a sign of strength and maturity? I think Twitter is going to fail since nobody in their right mind wants to work for a fascist clown like Elon Musk https://t.co/AtL83TxuLQ
76,"Elon Musk Hints He Could Slap CNN With Special Warning Label
https://t.co/e5bhdi81of https://t.co/jvtnZ15zca"
77,"Twitter prevented me from posting a picture of Hitler's Iron-Cross that Congresswoman Katie Hill has tattooed on her lower abdomen. Twitter's explanation was that the information might be 'harmful' to some people. So much, for Elon Musk's ""new Twitter"" platform
#KatieHill"
78,"@Timtravels007 @SisseyMcGill “ My pronouns are, prosecute Fauci” Elon Musk. https://t.co/DHBRLffT6c"
79,"New article from Off the Press - Share this far and wide!

Elon Musk Hints He Could Slap CNN With Special Warning Label 

https://t.co/3hGjBvgm3x"
80,"@BrerRabbitBurnr @punkinsoul @SchwartzNow @elonmusk @anothercohen Babe. Are y’all this delusional?

He was already fired. Nothing would’ve changed that - Elon is a sadistic man child. This was him showing everyone how immature and bad at owning a company Slave Mine Musk is."
81,"It's time to ban #BanYahoo #ElonMusk , they will remove your comments, they have blocked millions of peoples Freedom of Speech and manipulates the News and you are one of them. https://t.co/6iBuZuhiH8 via @YahooNews"
82,A Twitter employee says staff have grown 'numb' to outages because they've become 'so frequent' https://t.co/rVaGEhbITq
83,"If you still have the tiniest amount of respect for Elon Musk, read this thread, all of it. I'm genuinely furious. https://t.co/f2eNpKYyGo"
84,@nfonjimaze Someone said we’re waiting for Elon Musk to decide 🤣😂😂
85,"Musk blasts Jan. 6 committee: Cheney, Kinzinger, and Schiff ‘withheld evidence for partisan political reasons’ https://t.co/iGhL384hrV"
86,"I held off on blocking Elon Musk because I was still interested in any tech posts he may share.

Yet, all I see from him now are conspiracy theories, right wing propaganda, dangerous lies, inflammatory racist replies.

Biggest fall from grace ever. Fuck you, @elonmusk"
87,@GettinCancelled @Capt_Smirk @mikemasse @iamharaldur @elonmusk Cockroaches and all. Elon is 🤮https://t.co/ceV5RnVE5U
